system:index,0_cover_000_01,0_cover_01,10_cover_090_03,11_cover_135_03,12_cover_180_03,13_cover_225_03,14_cover_270_03,15_cover_315_03,16_cover_000_05,17_cover_045_05,18_cover_090_05,19_cover_135_05,1_cover_03,1_cover_045_01,20_cover_180_05,21_cover_225_05,22_cover_270_05,23_cover_315_05,24_cover_000_10,25_cover_045_10,26_cover_090_10,27_cover_135_10,28_cover_180_10,29_cover_225_10,2_cover_05,2_cover_090_01,30_cover_270_10,31_cover_315_10,32_cover_000_30,33_cover_045_30,34_cover_090_30,35_cover_135_30,36_cover_180_30,37_cover_225_30,38_cover_270_30,39_cover_315_30,3_cover_10,3_cover_135_01,40_cover_000_50,41_cover_045_50,42_cover_090_50,43_cover_135_50,44_cover_180_50,45_cover_225_50,46_cover_270_50,47_cover_315_50,48_cover_000_100,49_cover_045_100,4_cover_180_01,4_cover_30,50_cover_090_100,51_cover_135_100,52_cover_180_100,53_cover_225_100,54_cover_270_100,55_cover_315_100,5_cover_225_01,5_cover_50,6_cover_100,6_cover_270_01,7_cover_315_01,8_cover_000_03,9_cover_045_03,aspect,b0,b10,b100,b200,b30,b60,ba2023,ca2023,ca2024,elevation,hillshade,idaliaMSW,mTPI,qmd2023,severity,slope,topoDiversity,tpi001,tpi003,tpi009,tpi027,tpi081,windSpeedClass,.geo
000000000000000000bd_0_0_0_0_0_0,0.0,0.6,0.0,1.0,0.75,0.75,1.0,0.25,0.5555555555555556,0.6363636363636364,0.4444444444444444,1.0,0.5172413793103449,0.0,0.8,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.8947368421052632,0.6341463414634146,0.6052631578947368,0.926829268292683,0.8461538461538461,0.6829268292682927,0.7037037037037037,0.0,0.7631578947368421,0.7804878048780488,0.9857142857142858,0.7774647887323943,0.7428571428571429,0.8366197183098592,0.8376068376068376,0.7070422535211267,0.42857142857142855,0.7859154929577464,0.7665615141955836,0.0,0.8908163265306123,0.7940876656472987,0.5051020408163265,0.8766564729867482,0.8593272171253823,0.7951070336391437,0.4806122448979592,0.5178389398572885,0.7482161060142711,0.7569974554707379,1.0,0.7628500531726338,0.4694189602446483,0.7353689567430025,0.7408917197452229,0.7852417302798982,0.7031090723751274,0.7615776081424936,0.0,0.7149776927979605,0.712639653690677,1.0,0.0,0.0,0.25,0,71,70,61,64,63,60,4.210302,0.3370115,0.36004537,157,180,14.005555,0.1601223034559837,28.915358,0,1,0.060192827,-0.19999999999998863,-1.3103448275862206,-2.976284584980249,-2.3940585408475386,7.681299470693915,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.42617493896692,32.02727467787008]}"
00000000000000000075_0_0_0_0_0_0,0.0,0.2,0.0,1.0,0.75,0.75,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.7272727272727273,0.3793103448275862,0.0,0.6,0.2727272727272727,0.7777777777777778,0.18181818181818182,0.13157894736842105,0.1951219512195122,0.5,0.2682926829268293,0.5384615384615384,0.4878048780487805,0.345679012345679,0.0,0.5526315789473685,0.2682926829268293,0.4542857142857143,0.3183098591549296,0.3514285714285714,0.4676056338028169,0.26495726495726496,0.7070422535211267,0.8914285714285715,0.7605633802816901,0.3659305993690852,0.0,0.6214285714285714,0.1763506625891947,0.3408163265306122,0.5382262996941896,0.6289500509683996,0.8776758409785933,0.736734693877551,0.8226299694189603,0.731651376146789,0.6424936386768448,0.5,0.5271180432470755,0.6541794087665648,0.8274809160305343,0.8598726114649682,0.9111959287531807,0.7275739041794088,0.8857506361323155,0.0,0.592861695347355,0.7800553840277556,0.0,0.0,0.0,0.0,74,62,61,47,53,53,49,4.185552,0.24384683,0.13871934,139,170,14.033556,9.383356869017609,36.391537,0.43112103163205917,3,0.07943977,0.4000000000000057,2.896551724137936,7.92490118577075,9.629969418960258,26.065362016219098,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.02193306111315,32.3355764833799]}"
000000000000000000ab_0_0_0_0_0_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8181818181818182,0.8157894736842105,0.975609756097561,1.0,1.0,0.9743589743589743,0.9024390243902439,0.9629629629629629,1.0,0.9736842105263158,0.36585365853658536,0.88,0.9380281690140845,0.9342857142857143,0.9211267605633803,0.7948717948717948,0.9267605633802817,0.9457142857142857,0.7774647887323943,0.8738170347003155,0.0,0.45714285714285713,0.8124362895005097,0.9744897959183674,0.9510703363914373,0.8623853211009175,0.9153924566768603,0.9724489795918367,0.564729867482161,0.4520897043832824,0.7371501272264631,1.0,0.8897554058844381,0.8934760448521917,0.928498727735369,0.686624203821656,0.9465648854961832,0.9584607543323139,0.6905852417302799,0.0,0.8137667304015297,0.7867078333386384,1.0,0.0,1.0,1.0,167,56,54,45,49,47,44,6.524685,0.38540974,0.30046704,135,177,14.033556,5.130249113523059,45.10283,0.22039582576985128,5,0.080804326,0.0,1.2413793103448256,1.5494071146245005,4.44560943643512,18.414849706210845,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.01357872897083,32.35012919098264]}"
00000000000000000038_0_0_0_0_0_0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5555555555555556,1.0,1.0,1.0,0.9655172413793104,0.0,1.0,1.0,0.7777777777777778,0.5454545454545454,0.15789473684210525,0.6585365853658537,1.0,0.8048780487804879,0.8461538461538461,0.6829268292682927,0.8641975308641975,1.0,0.5263157894736842,0.6829268292682927,0.35714285714285715,0.7126760563380282,0.32285714285714284,0.5661971830985916,0.5470085470085471,0.18028169014084508,0.6428571428571429,0.895774647887324,0.6719242902208202,0.0,0.7418367346938776,0.7319062181447502,0.30612244897959184,0.6574923547400612,0.5025484199796126,0.43730886850152906,0.7214285714285714,0.7665647298674821,0.8361365953109072,0.7737913486005089,1.0,0.5285359801488834,0.5578491335372069,0.8404580152671756,0.6876433121019109,0.6692111959287532,0.759683995922528,0.7424936386768448,0.0,0.6081580624601657,0.7334245790495592,1.0,0.0,1.0,1.0,43,61,60,53,55,54,52,14.070414,0.651115,0.63012606,181,167,14.0535555,5.503450363382086,55.73135,0.03223538266609438,6,0.05760998,1.0,2.6896551724137794,3.1225296442687807,7.194408038444749,13.510658961783122,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.30301591351414,32.2250837034332]}"
00000000000000000000_0_0_0_0_0_0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.2222222222222222,0.0,0.0,0.0,0.3448275862068966,0.0,0.2,1.0,0.8888888888888888,1.0,0.6052631578947368,0.07317073170731707,0.02631578947368421,0.4634146341463415,0.7435897435897436,0.975609756097561,0.41975308641975306,0.0,0.9736842105263158,1.0,0.9085714285714286,0.7690140845070422,0.3314285714285714,0.6309859154929578,0.9116809116809117,0.9690140845070423,0.9828571428571429,0.8619718309859155,0.6088328075709779,0.0,0.7408163265306122,0.6890927624872579,0.5795918367346938,0.7951070336391437,0.8297655453618756,0.8797145769622834,0.9816326530612245,0.7900101936799184,0.746177370030581,0.49669211195928753,0.0,0.7958170861396667,0.6365953109072375,0.6910941475826972,0.621656050955414,0.7096692111959287,0.9204892966360856,0.7740458015267175,0.0,0.78572339069471,0.6995257344749658,0.0,0.0,0.0,0.0,150,65,65,54,54,56,55,10.490035,0.5751479,0.5714181,76,177,14.189222,3.382027896675041,44.082176,0.006484975564753803,2,0.0508218,0.5999999999999943,1.4137931034482705,3.5810276679841877,5.455220620358233,5.860098091584518,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.75522782753991,31.40447269139002]}"
00000000000000000080_0_0_0_0_0_0,1.0,0.8,1.0,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,0.9090909090909091,1.0,0.8181818181818182,0.9310344827586207,0.0,0.9,0.8181818181818182,0.8888888888888888,0.9090909090909091,0.8157894736842105,0.6585365853658537,0.868421052631579,0.7073170731707317,0.8461538461538461,0.9512195121951219,0.9012345679012346,1.0,0.9736842105263158,0.8536585365853658,0.5857142857142857,0.4704225352112676,0.5571428571428572,0.571830985915493,0.5641025641025641,0.7464788732394366,0.9,0.5521126760563381,0.832807570977918,0.0,0.5744897959183674,0.32313965341488277,0.24387755102040817,0.6309887869520897,0.6381243628950051,0.4841997961264016,0.5540816326530612,0.5341488277268094,0.3967889908256881,0.43740458015267175,1.0,0.6182204891882311,0.27803261977573906,0.5944020356234097,0.6952866242038217,0.42849872773536896,0.6312436289500509,0.5992366412213741,0.0,0.49789674952198854,0.5076232612916574,0.0,0.0,1.0,1.0,62,67,66,53,53,59,55,6.978252,0.47453845,0.47800255,86,153,14.189222,2.220614655267627,33.723244,0,10,0.05000016,1.0,3.0,2.494071146245062,2.727391874180867,1.8816102559122072,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.71561212351024,31.44813081419823]}"
00000000000000000006_0_0_0_0_0_0,0.0,0.2,0.0,1.0,0.75,1.0,0.6666666666666666,0.5,0.2222222222222222,0.0,0.2222222222222222,1.0,0.5172413793103449,0.0,0.9,0.9090909090909091,0.4444444444444444,0.45454545454545453,0.23684210526315788,0.4634146341463415,0.6842105263157895,0.8780487804878049,0.8205128205128205,0.9024390243902439,0.5308641975308642,0.0,0.42105263157894735,0.2926829268292683,0.6228571428571429,0.8225352112676056,0.9257142857142857,0.9436619718309859,0.9173789173789174,0.9577464788732394,0.7828571428571428,0.37464788732394366,0.5899053627760252,0.0,0.6612244897959184,0.8634046890927625,0.8673469387755102,0.9469928644240571,0.9408766564729868,0.9164118246687054,0.789795918367347,0.6615698267074414,0.7660550458715596,0.7229007633587786,0.5,0.793335696561503,0.7951070336391437,0.953944020356234,0.9431847133757961,0.7078880407124682,0.8384301732925586,0.4213740458015267,0.0,0.8309751434034417,0.7685647897635038,0.0,0.0,0.0,0.0,159,67,66,58,62,60,57,9.905417,0.5343126,0.4983076,140,177,14.199889,2.687062648625914,39.59619,0.06738568348728136,3,0.065930955,0.4000000000000057,1.2413793103448256,1.7984189723320299,3.9200524246395787,6.075462535813131,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60323288146688,31.82730969562508]}"
0000000000000000000d_0_0_0_0_0_0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.5,0.3333333333333333,0.36363636363636365,0.2222222222222222,0.18181818181818182,0.2413793103448276,0.0,0.3,0.6363636363636364,0.4444444444444444,0.6363636363636364,0.6578947368421053,0.3902439024390244,0.05263157894736842,0.0975609756097561,0.20512820512820512,0.6585365853658537,0.3950617283950617,0.0,0.7368421052631579,0.5365853658536586,0.16,0.07605633802816901,0.11142857142857143,0.5211267605633803,0.6096866096866097,0.5295774647887324,0.5685714285714286,0.2591549295774648,0.416403785488959,0.0,0.19183673469387755,0.034658511722731905,0.10306122448979592,0.46992864424057085,0.4383282364933741,0.48827726809378186,0.5163265306122449,0.345565749235474,0.09760448521916412,0.14376590330788805,0.0,0.3544842254519674,0.32772680937818555,0.6648854961832061,0.44687898089171973,0.3895674300254453,0.36162079510703365,0.2193384223918575,0.0,0.32351816443594644,0.3314447592067989,0.0,0.0,0.0,0.25,326,58,57,50,53,52,50,7.3448763,0.4980489,0.45033783,130,194,14.199889,6.888561755239673,34.6244,0.09579596341447949,8,0.07481151,1.0,3.068965517241381,7.63636363636364,11.510266491917875,11.227213130675466,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60511934356353,31.750234244247626]}"
00000000000000000015_0_0_0_0_0_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18421052631578946,0.0,0.05263157894736842,0.024390243902439025,0.0,0.24390243902439024,0.0,0.0,0.21052631578947367,0.4146341463414634,0.21714285714285714,0.03380281690140845,0.29428571428571426,0.2704225352112676,0.039886039886039885,0.11549295774647887,0.42,0.17746478873239438,0.14195583596214512,0.0,0.3551020408163265,0.04281345565749235,0.17448979591836736,0.4271151885830785,0.25178389398572887,0.20489296636085627,0.3,0.4240570846075433,0.39627930682976553,0.3188295165394402,0.0,0.195675292449486,0.0983690112130479,0.4213740458015267,0.38980891719745225,0.14223918575063613,0.28338430173292556,0.4292620865139949,0.0,0.27253027405991076,0.30995957602571855,0.0,0.0,0.0,0.0,293,63,63,54,55,55,53,12.222968,0.62167495,0.5765736,121,187,14.199889,0.45774634579233864,53.414677,0.0725481125314299,2,0.04156829,0.20000000000000284,0.41379310344827047,0.7470355731225311,-0.03844473569243689,0.9663477880833256,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.62182800784815,31.737837493326776]}"
00000000000000000044_0_0_0_0_0_0,1.0,0.6,0.6666666666666666,1.0,0.75,0.25,0.0,0.0,0.6666666666666666,1.0,0.7777777777777778,1.0,0.5517241379310345,0.0,0.7,0.18181818181818182,0.1111111111111111,0.0,0.6578947368421053,0.8292682926829268,0.868421052631579,0.8780487804878049,0.6410256410256411,0.3170731707317073,0.5555555555555556,1.0,0.15789473684210525,0.0,0.43714285714285717,0.15774647887323945,0.4114285714285714,0.4225352112676056,0.3475783475783476,0.08732394366197183,0.11428571428571428,0.0028169014084507044,0.5425867507886435,0.0,0.613265306122449,0.07339449541284404,0.3122448979591837,0.2854230377166157,0.13761467889908258,0.30988786952089703,0.4897959183673469,0.3007135575942915,0.3985728848114169,0.26463104325699743,0.5,0.24707550514002127,0.23700305810397554,0.2094147582697201,0.33222929936305734,0.23536895674300254,0.44699286442405706,0.3793893129770992,0.0,0.31523263224984066,0.3129197568195563,0.0,0.0,0.6666666666666666,1.0,142,63,62,59,62,59,57,2.3426442,0.22624142,0.27107295,110,173,14.199889,3.063541176821033,22.58095,0,4,0.051096406,0.20000000000000284,0.6551724137931103,2.391304347826093,4.897335080821321,7.173894041664639,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60511934356353,31.687711500472904]}"
