tree,orchard,crown_area_m2,ht_m,pre_helene_vol,post_helene_vol,damage,rel_ht,rel_dens_1.8ha,HELENE_MSW,predicted_dbh
1,GN,38,8.852,276.703,258.166,6.7,1.042480526,7,31.54177856,17.6
2,GN,50,8.993,331.055,177.981,46.24,1.028275074,7,31.54177856,19.74
3,GN,53,8.17,332.07,178.144,46.35,0.961006881,8,31.54177856,18.99
4,GN,83,9.639,629.81,8.589,98.64,0.981568228,6,31.54177856,25.15
5,GN,69,9.778,559.171,296.078,47.05,1.174252432,8,31.54177856,23.62
6,GN,53,7.682,306.188,329.616,0,0.991840107,5,31.54177856,18.26
7,GN,73,10.343,578.498,425.577,26.43,1.231651649,3,31.54177856,25.08
8,GN,40,6.289,198.123,180.764,8.76,0.74811158,10,31.54177856,14.57
9,GN,79,10.888,668.728,7.182,98.93,1.147494335,4,31.54177856,26.79
10,GN,61,8.573,369.295,321.583,12.92,0.963168243,6,31.54177856,20.66
11,GN,39,8.444,267.523,186.397,30.32,1.1029018,6,31.54177856,17.27
12,GN,63,7.732,335.54,238.247,29,0.952652515,7,31.54177856,19.55
13,GN,87,9.964,695.547,430.396,38.12,1.109626264,5,31.54177856,26.21
14,GN,60,8.499,368.668,155.145,57.92,0.992912497,3,31.54177856,20.41
15,GN,61,7.792,351.47,391.846,0,0.947954938,5,31.54177856,19.41
16,GN,54,8.487,346.586,374.41,0,1.161647961,4,31.54177856,19.6
17,GN,42,7.754,247.935,237.452,4.23,1.00813896,5,31.54177856,16.85
18,GN,76,7.983,439.295,368.392,16.14,0.995039138,5,31.54177856,21.41
19,GN,60,8.153,377.495,314.371,16.72,1.097899273,5,31.54177856,19.87
20,GN,66,7.013,356.245,194.8,45.32,0.965867095,6,31.54177856,18.65
21,GN,59,7.009,313.928,393.138,0,0.940625,7,31.54177856,17.9
22,GN,66,7.685,376.847,244.124,35.22,0.938434924,6,31.54177856,19.81
23,GN,78,7.426,419.563,459.687,0,0.889916832,5,31.54177856,20.58
24,GN,54,7.552,330.593,361.709,0,0.934653465,4,31.54177856,18.19
25,GN,59,7.362,336.175,390.843,0,0.893970978,6,31.54177856,18.48
26,GN,41,7.292,242.603,286.558,0,1.000377268,4,31.54177856,16.09
27,GN,73,10.324,567.419,608.125,0,1.427420888,8,31.54177856,25.04
28,GN,56,9.452,360.107,361.341,0,1.181057104,4,31.54177856,21.29
29,GN,46,7.617,277.682,222.944,19.71,0.811844957,6,31.54177856,17.24
30,GN,56,9.164,386.147,396.462,0,1.123479796,5,31.54177856,20.87
31,GN,48,7.294,247.512,287.156,0,0.895606689,5,31.54177856,17.04
32,GN,76,7.582,443.042,421.969,4.76,1.148439867,7,31.54177856,20.68
33,GN,45,6.524,226.076,208.797,7.64,0.816554717,6,31.54177856,15.53
34,GN,59,9.1,408.137,279.876,31.43,0.954578831,8,31.54177856,21.2
